..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
...8....6...,....C...B..3,.5...3...1..,.1CB9.A....7,3.9A8.46.C..,24..7.C...9.,.8...1.9..BC,..B.3C.894.6,9....6.2A81.,..3...9...2.,5..6...C....,...7....5...
.5...B.861..,A.7....15..B,B.........42,.......9C..6,..58.2C.9..1,..A2..3..7..,..6..3..1C..,9..5.C1.B4..,7..16.......,57.........3,4..39....5.8,..1B2.4...A.
..3...A.8C9.,.7.....2....,..B....C..37,7.9.2.3....B,15..7...3.8A,.6..1A...72.,.B2...51..A.,3A.6...9..C5,4....7.3.9.6,89..3....2..,....B.....7.,.2AB.9...4..
....6A.8..3.,..8AC.3.47..,......5.8..9,..1.52..6.A.,5..4........,2.9.1..B..57,A8..9..6.C.2,........7..8,.1.B..75.6..,B..3.8......,..72.6.453..,.4..A.93....
.C.5...4..38,B.8....152..,..938..7....,.2..7.35...6,......6..81.,..6B...8.4.A,8.2.B...C1..,.1B..9......,3...17.2..5.,....4..965..,..462....B.C,C8..A...4.9.
.5..B.......,4....63..2..,.13...A...B.,.2.3.7..C...,C...48.6.7.5,9.6......1.4,3.1......5.8,8.C.6.B9...1,...A..1.7.6.,.6...B...43.,..A..47....C,.......8..2.
58.....A.4B.,........3.68,....4C86.9A.,......475..B,........A.C.,C71..5A..2..,..A..1B..C53,.2.4........,9..137......,.59.B862....,64.C........,.B7.1.....39
A...6....C..,5.B..C2..6A.,1.6...9..245,....78.91A..,9A..B.4C....,...8.A.2...9,C...2.A.3...,....C9.7..12,..254.83....,8BA..6...3.4,.2C..7B..1.6,..5....4...A
...295...A..,CA...86.....,..1....C2.8.,...A14.7.69.,.5.1B.C..7..,2.74......B.,.4......C8.B,..9..2.45.A.,.13.5.AB7...,.2.93....1..,.....19...73,..6...5AB...
......9.16.7,...B.1....A.,.5216.C.....,1.C.8...7A5.,...59...4...,7B..A2.5..1.,.C..B.A2..41,...A...86...,.356...C.2.A,.....4.3279.,.7....5.A...,9.38.B......
B.6.2.8..3.7,.3..5.B.62.9,.52..A6....8,......5B.C.1,1.B.6..A.4..,.7........9.,.C........1.,..1.C..5.9.B,9.3.41......,A....51..87.,6.C9.B.8..3.,7.5..6.9.B.C
....A.3.B..8,..845....C97,.9....6....3,.......C.2..,B..2....78.C,..C765B...A.,.3...BCA97..,1.26....4..A,..B.4.......,2....4....7.,67A....189..,4..C.8.7....
..48C..B..6.,.5.7...A...9,A96..5......,.....1.4B9..,8B.....6....,41.5....8..6,1..C....2.BA,....2.....35,..531.7.....,......3..CA7,6...7...5.9.,.7..6..13B..
.178C..4.9..,..6....9.B1.,.5.B.136..A4,293..87.....,............,8....C.327.9,1.B93.5....6,............,.....24..39C,62..A9C.B.7.,.79.4....1..,..C.5..79A4.
.87C...23...,5.2.94..6...,64A.C..3..7.,..C...2....A,.76...8.4...,...94.....8.,.A.....B8...,...3.6...91.,7....9...4..,.1..5..C.842,...8..61.A.9,...72...B65.
.C......2.4B,.7.52B.6.3..,.3....89...1,.8...A.71...,..3.6.B..9..,C..A8......2,5......AB..8,..9..7.C.6..,...7B.9...C.,2...A3....6.,..7.9.6B8.2.,86.4......B.
3.C.9....412,.A9..14..5..,.4....6....8,9.....3.A6..,.12..B......,6...541..7.9,8.B..257...4,......8..AB.,..A9.3.....6,5....C....4.,..4..A9..86.,A91....8.B.C
31..A......5,.....541.8.A,.A....3..6..,..3.....4.29,.2.8..B.15..,4.....52C.6.,.4.312.....6,..9A.3..7.5.,16.C.....9..,..1..C....B.,2.5.471.....,B......A..31
....5.7.4..9,..8.A2.3...6,.....91B.8A.,6..B...1....,.72.B49....5,.3......2.91,8A.3......4.,7....B8A.61.,....7...C..A,.8B.95C.....,C...8.B7.5..,9..4.6.2....
..B6...C....,C.4.2.693.1.,A...5B......,9..1..7..B..,8...6.B5.2.3,4.63.....5..,..3.....6C.4,6.5.74.1...8,..A..8..5..2,......83...1,.C.4B5.A.9.6,....9...CA..
...97.B.8...,..C3.9.....5,8.....1C.3B.,....A1...C9.,.C....5..413,...2.....5.B,C.5.....6...,AB1..7....4.,.96...21....,.59.1C.....6,7.....A.18..,...1.B.95...
A.2..CB.3...,.5.69A4...1C,..7.....B9A.,.28.....1...,...1.9...A..,7..3C1......,......2CA..6,..C...9.5...,...5.....12.,.A57.....8..,1B...6852.C.,...C.4A..B.1
....C.8....A,..18.....23.,9.A..37...85,.7.......3.9,..B3.7.9.C..,.....1..7.28,45.1..6.....,..C.2.3.B5..,3.8.......A.,19...C2..B.7,.B7.....5A..,A....4.5....
...8..1B..4.,...2.79....3,9..B.6...8..,2...1....5..,...7.C5.1.B8,.B...4.6A.32,63.5B.7...2.,C2.1.86.5...,..7....1...6,..2...4.9..A,7....5B.4...,.9..81..6...
1...3.89....,AB9..7.C.38.,...3....19..,31....2.7...,..........5A,.2..15.79.B.,.8.47.B1..3.,B6..........,...9.4....21,..C6....3...,.51.6.3..29C,....59.B...8
9.3...8.7...,8.....64....,AB..1.7.....,.3...15..B9.,..1.2.B.6..A,C..79....24.,.74....62..5,5..1.2.B.A..,.A8..34...6.,.....7.5..8C,....A4.....3,...9.8...5.2
..26.B..7...,4C..5....1..,7.9....A...B,.B8.2..C....,C.3..5.9....,.7.A4..1.8..,..A.C..81.5.,....9.B..A.6,....A..3.9C.,8...1....C.9,..4....B..83,...C..2.B5..
....1..C56..,2.1....3.9..,.9.8..7.....,.62...C.8.4.,...5..4.276.,..7..92B.35.,.16.543..C..,.25C.7..4...,.3.B.8...29.,.....B..7.1.,..C.3....8.A,..879..A....
B...8...73..,...5.......A,CA..7..1.89.,...........2,26.15A.B..7.,5C....9..BA4,351..6....BC,.8..9.2A4.65,4...........,.4C.1..6..28,6.......C...,..83...4...7
9..5B.C...2.,A.C..1....7.,..28...465..,59.C.8...B.1,.A.....3....,2.....1.A...,...9.2.....5,....8.....B.,4.3...7.C.6A,..516...27..,.C....9..4.3,.4...7.15..C
4....7B.8...,..C...5.A...,9B.....657..,7..CA....8..,1...8...4B.2,.8....45...A,3...94....1.,5.AB...7...9,..2....B7..C,..123.....A4,...4.1...2..,...7.A6....5
.4.......2..,.A..6......B,1.62...4....,.1.A.4...5.9,57C.A.2.....,6..9B....1.C,2.B....5A..7,.....B.3.425,9.8...4.B.C.,....C...7B.3,A......7..5.,..9.......1.
4...1...A6..,3C.95.....21,.....8....5.,1.....7.2..A,59....2..3..,.2..C54.1..9,9..5.237..B.,..A..6....34,2..8.1.....6,.1....5.....,A7.....28.6B,..26...3...5
.....C9.A.B8,2...7A...5..,..AB5.1...47,1..2.......5,7.....6..9C.,.9.53....48.,.46....7B.1.,.17..B.....A,A.......9..C,8A...1.45C..,..C...85...4,45.6.3B.....
...849.C.26.,.2..6......3,9.C...7..B..,...9.C..A1..,6..4...1..95,.1.5..A.....,.....3..5.C.,5B..7...6..8,..82..4.3...,..4..5...A.9,B......A..8.,.9A.2.867...
.9.5....7.1.,..1.2.795...,.76.1..8..32,1.4.B.2..A.5,..92..8.....,.3...6..4...,...4..B...5.,.....7..21..,6.C..1.5.8.B,38..7..B.24.,...C38.A.7..,.B.1....3.C.
A.812B......,3....4C..1..,C4......B6..,7.9...8...3.,...C..3.87.1,..1847.....B,1.....B2AC..,B.C2.1..7...,.7...A...B.4,..B3......96,..5..C1....A,......2845.7
..5...B.83.9,..3.7.....4.,.C96..58...7,.7.....2C6.1,.5...64.9...,.......A..24,BA..9.......,...C.B7...5.,3.874.....6.,8...B3..42C.,.6.....7.A..,C.B9.5...7..
.7.32..86...,4.B.67......,.......57.9.,.974.8......,1.AC..B.4...,.568...4.3..,..4.8...376.,...6.1..2A.4,......3.98C.,.6.93.......,......69.2.A,...2A..C5.B.
......7B....,.A..8.3..94.,7.81.4A....C,...61.....C.,..74....B15.,A.C...9.2..6,C..2.3...4.5,.3AB....16..,.5.....AC...,1....75.63.A,.84..B.C..1.,....A8......
...B........,.C..4..87A..,A.7.C95..6..,...3.B...2.C,..B.92..8.3.,.54.7.3...6.,.4...1.2.5B.,.2.9..C7.8..,B.C...A.9...,..5..A43.C.1,..176..C..9.,........5...
..56.81.2C.9,9.1..6..3...,4...9....5A.,...4..6.B.C.,....15....2.,26..7..9...A,5...B..C..61,.3....98....,.C.A.7..8...,.47....A...2,...3..5..4.C,C.25.34.7A..
7..6....9.C4,...94.6.....,45...C7..2..,.1483.2.6...,.65.B.......,C..2...5.41.,.9B.2...8..C,.......1.96.,...1.5.4AB7.,..A..BC...31,.....9.84...,23.B....C..9
A.B..7......,C75..3A4....,...6....57..,3.8.....2...,2..15.3..8..,B6..12..34..,..24..63..9B,..1..B.27..5,...9.....2.1,..42....A...,....697..12C,......2..9.3
6.1.7..8.92A,.72..A..C.B.,.8.........6,963.1.A....7,B..4...6....,...8.9...A6.,.59...4.A...,....B...4..9,A....2.C.53B,2.........C.,.9.1..6..7A.,5CB.2..7.6.4
.8.3.6.A7...,2....1...A..,..9..8...3C.,.4...9.B..67,6CB....7.9..,..15..6....B,1....C..62..,..C.9....581,5A..6.7...4.,.65...9..B..,..A...1....C,...CA.8.1.2.
.....6.B....,.A...C..3...,..97...8.614,926..1..B...,.B7...8.5.2.,1....7.39...,...1A.6....2,.7.6.9...43.,...3..4..569,51A.4...68..,...4..7...B.,....B.C.....
...C.574...A,.9....13....,2..69...5..7,76.....CA..3,..1..A...76B,..C..1...5..,..B...9..6..,529...C..A..,1..7B.....24,6..4...91..2,....36....A.,B...C28.4...
3..6792.4.A.,2.....1B....,...4......C.,6.85B..21...,4.......25..,9.....C7B...,...358.....6,..6A.......3,...C1..6A9.4,.1......6...,....32.....8,.7.2.AB95..1
51....97A4..,..2.......5C,.C..5A..7...,1.9..B..4..3,.BA..15.9...,.....6..25..,..81..3.....,...5.28..79.,4..7..6..B.5,...3..26..A.,A8.......6..,..42B8....C7
..CA1.3.....,84.96..B..3C,37...A...4..,...5..62..7.,467.93.1....,.....C.....4,6.....C.....,....5.46.382,.5..82..6...,..4...8...1A,A2..B..C7.59,.....9.78C..
..3.4..A....,.47B5.86...3,1..A.....6.8,.2.C3.......,3.1....8.9.C,5..61.2..B..,..A..4.18..2,9.8.7....1.5,.......9A.C.,B.6.....5..A,8...B1.5627.,....6..3.C..
..271..5..8.,...1...93.5.,354...8....A,.1.37..A.B.8,4...........,...59.3.1C..,..C9.B.2A...,...........6,6.5.A..47.C.,B....9...521,.2.A3...8...,.4..2..6C9..
B2.A.C.65..9,..C92....1.6,..6....98...,..4........1,1..6...C....,.....8276B4.,.792B6A.....,....7...A..3,6........2..,...58....9..,C.2....178..,8..1A.3.4.6C
..42...6..3.,.3B...5.....,..1..2.4..5.,36..7..C8...,5..8.3..C...,AB....85..13,24..58....7C,...6..C.1..4,...5A..3..2B,.C..2.3..7..,.....4...86.,.2..6...3B..
B.1..3.27.6.,.3.6.B7..21.,....9....BC.,39..B.5.....,..7A...3..9.,58.B.1.9....,....3.4.6.21,.2..A...48..,.....2.8..B7,.49....5....,.A6..9B.8.4.,.1.37.8..5.2
4.31...2...6,A..7...43.1.,......3C...8,7CB.....6..9,36....9.B.4.,..92.B.A....,....1.2.C8..,.1.9.3....62,6..8.....1B3,1...4A......,.9.62...1..4,2...3...8B.C
6C.......8.A,..4A56C...1B,......4A....,54.1.7...9..,....6..B.A8.,.B...4.2.7..,..C.7.6...2.,.98.B..4....,..B...8.9.5C,....1B......,A1...59642..,C.9.......B5
B7.4....2.9.,...C..126.B8,.8.9..B..1..,....23..7B.6,.......9.A.C,4.B..A......,......9..8.2,9.8.5.......,3.61..C8....,..3..C..8.4.,14.86B..9...,.C.2....B.57
8.....9..45.,A..53...8.B.,...7C4......,5.618...C..7,.......1..3A,...3AC.5....,....7.4CA...,75..9.......,2..C...A91.6,......764...,.3.A...41..2,.C9..5.....8
2......B...4,4.6...5.1.C9,..8B7...3..A,..2...B89A..,....974....5,5...A..C....,....8..1...6,3....9A5....,..A64C...1..,8..4...763..,A7.C.4...8.2,1...5......C
.......C32.B,C7..B.42.1.A,..2..7.8..4.,8.675A.....1,.5...3.12.8.,..C.........,.........5..,.3.CA.2...1.,9.....874A.2,.4..2.1..B..,5.1.38.B..26,3.A24.......
48.2.1.....3,..C..93.....,.7B16..8..2.,.B...36..4.7,..6.87.B51..,........8.B2,61.9........,..4B5.89.2..,8.7..61...4.,.6..4..5139.,.....C2..8..,1.....7.2.A5
.3..7...6...,9.2.16.8....,1B.7...95..3,563..A...1.4,......54...C,.4...3..7.5.,.1.2..8...B.,8...92......,3.C...1..27A,7..9A...1.3B,....C.61.7.5,...5...3..C.
.3B4...5..1A,....31.....2,...9..2C.5..,..9..C.A....,BC...2...1A8,.A..7..49C..,..529..3..8.,463...8...91,....1.6..4..,..A.43..B...,3.....CB....,95..A...123.
...2C....B..,...8..36..12,.96....5..A4,..74....5...,...C49...8.6,B.9162......,......1C64.B,4.1...B93...,...5....71..,9B..7....65.,74..3A..1...,..C....8B...
.12..73A6...,.....512...A,.A.8.....5..,..96....A.2.,....6....C59,4...2.8...36,8C...9.5...B,A64....7....,.B.2....71..,..C.....B.6.,1...936.....,...3BCA..74.
........2B.5,..8....91.3.,B...1.2.4.6A,A....3.B8...,.8...1A...59,.3.6.7...A2.,.24...7.A.1.,39...45...C.,...12.6....3,17.C.5.8...4,.A.B3....1..,8.39........
..A....65.8.,C.....74..6.,B...8...A7.9,.A9..2...4..,.6....3....C,...8B6..21..,..47..1B6...,3....C....1.,..8...4..93.,9.B2...8...3,.3..C4.....8,.5.41....A..
...1.....A..,847.C......2,2......9C.1B,49.B617.....,...3.5....B.,..8..4..72..,..48..3..6..,.A....6.2...,.....2BC4.51,61.75......A,9......8.7C6,..5.....1...
....6.9.....,284..A..759.,.69.24.1A.B.,83...C5..9..,..6.3.....7.,..AB.......5,5.......27..,.4.....2.B..,..2..7B...CA,.9.25.C6.1A.,.A3C..8..657,.....1.4....
1....A2..93.,3......9286.,..2.5.1.4...,9.....5.7..2,8.7.6..1..A.,....B8....1.,.1....A6....,.6..2..5.3.4,2..7.C.....A,...A.5.4.6..,.9831......C,.C4..78....9
35..9B.....7,.....617....,6..15...A...,.C.6.9..8.42,....7..2.9..,.B..4...C.73,86.A...3..1.,..1.A..9....,43.9..B.6.A.,...2...B3..8,....124.....,7.....8C..B1
..A.57...1..,.....B..9.7.,...BC..1A...,6.52.94....B,..4.......23,8B.....21A..,..658.....17,B8.......5..,3....5C.2B.9,...79..A8...,.3.9..2.....,..8...75.6..
..68.7...2..,....2....38A,..9.5B..746.,...4..1....6,81..3.....5.,9..AC.4B....,....94.C8..B,.A.....7..2C,7....2..3...,.812..BA.6..,BCA....2....,..3...7.CA..
9.C....4...5,.B.......7C4,.4..17.3...6,.8.A34..6...,.....5..42..,......1.A.98,4A.3.2......,..26..8.....,...B..617.8.,3...C.49..6.,69B.......4.,2...7....9.B
..7.86...3BC,.......36...,.3B.A....2.5,2.8B..A....6,.....2....53,3......C4.2.,.8.C9......1,14....8.....,6....4..59.A,8.5....7.64.,...73.......,9BC...28.5..
71...9A..8..,3......895.1,...9...5.A..,...2CB1A....,.A1...8.....,54..3....16.,.89....3..A7,.....A...24.,....B14C3...,..6.5...4...,A.349......5,..2..C7...B9
....7.C.A..1,1....A.347.9,5A..9..2.3.6,..A....7.6.C,...CA3..89..,6..8.9...1..,..1...8.9..3,..7B..392...,C.9.2....5..,9.2.3..B..C5,A.B58.9....7,7..6.5.C....
.1.26.58BC..,9..6......A.,..7.B.......,.8.....4C3..,.3.9.2...761,1..7.6.B2...,...51.4.7..A,86A...9.4.2.,..94C.....1.,.......9.2..,.A......3..7,..6831.7A.5.
C..79.....5A,9.1...3...8.,........91.4,....A..C...B,.B..6..73A48,6..A81...7..,..4...718..2,58ABC..6..1.,2...3..8....,B.64........,.A...C...9.5,7C.....B4..1
..7.1.425...,4.8.5......B,9..2..7..18.,1..7.......C,.3..97...A.2,..2..A..B.1.,.7.1..2..6..,2.9...81..A.,3.......1..9,.51..B..6..7,8......4.5.1,...461.9.3..
..5.........,23.CB....6..,B6..5C8..347,.9....1.8B..,..C....86..A,48.B...53...,...1C...7.53,C..71....2..,..43.7....B.,726..154..CB,..B....65.19,.........4..
.1.......9.8,7.AB...1C.6.,8.29.....5..,4A.8.1.C.63.,..9..A38..B.,...645......,......83B...,.9..1CA..7..,.3C.9.7.1.A6,..1.....3B.9,.6.7A...21.C,9.4.......5.
.....8..1..3,9..6...2.57.,.5....3A4.C.,.42.C...9A..,A.......3..4,5C...B.6....,....B.5...91,4..5.......6,..97...1.43.,.B.253....4.,.68.1...B..9,1..C..2.....
.A.54B3.8.6.,.63.......1.,.9.28...B...,.1.C.6..9..B,..581..4....,..6..A.B21..,..719.B..C..,....6..C37..,C..6..5.1.2.,...9...25.8.,.5.......2B.,.2.7.498A.3.
1C...4B5..27,...B.3.7.9..,...4.6.C....,.B..9...7C..,39.2.C...1..,..C....65..A,A..56....7..,..1...8.B.64,..67...3..1.,....2.6.C...,..B.3.C.1...,C1..5BA...83
6B..2.54A..8,5A.....7.1..,.....A3.56B.,..A..8.9CB2.,7.......94..,.5.....1....,....4.....5.,..59.......1,.1785.2..9..,.C32.48.....,..9.A.....86,8..6B5.C..9A
4..7.5C.B..3,..9.8.3B...4,..3B4.A.1.85,..82.B...7A.,.4...9......,....C.....3.,.C.....A....,......8...7.,.B2...9.5C..,9A.1.8.524..,2...9A.4.B..,7..4.21.8..A
.86......2..,...2..C4A.1.,A.7....13..8,..39B.1.7...,....4..3....,41.A.9....6.,.B....7.5.29,....5..A....,...7.3.6B8..,7..B6....5.3,.9.87C..1...,..2......94.
.8...B....1.,2.1....9....,C47986.A.5..,1.C..5..9..A,.94.12.C.7.B,.......8.2C.,.1B.C.......,4.9.7.63.1B.,7..3..8..6.5,..8.B.517362,....3....C.9,.6....9...5.
...C.94.B...,....5..1...6,..79......8.,.2...3....B5,B.5.2......7,..98B5.6..41,93..A.17CB..,8......3.4.2,1A....C...3.,.B......18..,6...C..9....,...3.A7.5...
..6.3..A..7.,73.........4,C5.......A..,3B8.51....47,..7.2C.....A,.2.A..B69...,...273..A.1.,1.....8C.7..,6A....25.3CB,..3.......8C,8.........61,.1..4..7.5..
.8.5..A..96C,..7.95.....3,.3..BC8...4.,....56...7..,..4....C.8.9,B......8.A5.,.25.3......1,8.C.6....3..,..9...42....,.5...136..C.,1.....C7.4..,CA2..B..7.3.
.C2.5....A84,...B4C....5.,5.4A....B..9,....2..A..68,.9..13....B.,..C17....9.2,C.7....6A3..,.4....B2..9.,9B..C..7....,4..C....8B.6,.2....849...,679....C.41.
...B...5...7,.7..8.B.19C.,.C.84.9.A.2.,.A2.....8...,8...26.....1,...9B..7C...,...CA..8B...,9.....4C...A,...A.....C5.,.2.4.C.69.8.,.861.4.B..3.,A...5...7...
...72...C36B,..6..5...7.2,.1..9..C.A8.,97..6.1...2.,...A.....B.1,36....4.....,.....9....A8,8.A.....2...,.B...6.8..C3,.57.3..6..4.,A.1...8..6..,6934...A7...
..6.....4..9,.C.5..39.B7.,.A.9.7B2C...,....7.C..A..,A...5.......,12C..B.A9..7,9..62.7..418,.......6...2,..1..A.5....,...B169.3.4.,.37.C5..8.9.,5..C.....7..
.5A2B..438..,4.....82..B.,.....1.6....,7.1...A.6C..,.A...8C.4..3,...3......9A,26......5...,C..5.76...3.,..BA.5...7.9,....6.9.....,.1..54.....B,..592..1764.
5...3...7...,...39.81.4A.,..17..4.3C..,7.5.....2..3,3A...6.9..4.,.2.1..37....,....5C..9.6.,.3..6.2...15,4..6.....B.C,..3A.9..B2..,.19.78.64...,...5...2...1
.C.1..4.8...,4..69...A.B3,3.....8.4..6,.B.....56.A1,.....B....8.,....4867...5,1...6259....,.4....C.....,A5.8B.....6.,B..3.1.....8,21.7...8C..B,...A.4..9.1.
...715...A..,..B9.6....83,......A...6.,...6.AC..4..,.9..83.....7,C.71..6..8AB,B71..8..C2.4,3.....2A..1.,..8..C5.9...,.A...1......,72....B.A9..,..5...823...
3..6.A2..C..,..2.3.......,7..B.8.6.2.1,..5.C6.9A...,...9.......3,.6.4.5.3.B2.,.A4.B.8.5.1.,1.......4...,...86.91.A..,6.C.9.5.2..7,.......C.9..,..1..7A.B..5
64....7.A...,A.9..2..3..6,.........C97,..7...18...B,B...7.36.A..,4..9A5B.17..,..B5.A972..3,..6.53.C...A,2...16...9..,75A.........,8..3..4..2.1,...6.7....8C
7..25......4,65...7A.2..C,4.8.C.B..1..,.3.78.2.4...,.2C8...6....,..14A...7...,...9...8A7..,....B...94C.,...6.C.3B.1.,..2..8.A.3.9,3..C.24...BA,8......B1..2
.6...2.5....,1...7.6..4.9,3.........52,..5....BC..8,..84.C...A..,.C61..A.5...,...8.5..47B.,..4...C.A6..,6..B9....1..,C9.........1,5.7..8.6...B,....1.7...C.
4.....A.....,..9.4.1..2A.,38.6.....9..,.98...B7.423,..4...32...5,.......9.C.A,8.B.9.......,9...75...6..,A37.B2...54.,..6.....3.54,.23..A.B.8..,.....8.....1
45......2...,...8..4.5...,6..A58BC7.4.,.48....1..9.,..5.C.6...8B,1B..8.24..7.,.6..34.8..52,58...2.6.B..,.C..9....A6.,.2.5168B4..9,...1.A..C...,...7......15
.8..6...1C2.,.1.4..7....B,B26.3.......,..C3..B5...1,5.B.....7..C,.A...C..2.6.,.C.A..8...B.,6..5.....9.2,4...16..35..,.......6.284,7....A..B.3.,.B98...3..A.
291..6..8..7,..B..45....3,..7...B.A1..,...A....4...,.5..A.1..732,.......C65..,..58B.......,CA4..5.3..2.,...6....1...,..34.A...9..,1....72..3..,5..7..C..4A1
CB...74A....,.4.6.9......,.35...C..47.,.1.9..6.A.C.,....9.B..7.6,..2..A.4..59,87..B.5..A..,1.6..2.C....,.9.2.4..7.B.,.59..6...8A.,......7.5.2.,....589...6B
B2..94...3.8,..8...2.1.4.,.1.C...8B...,4....3.2..C5,.....A..41.3,..93......7A,38......C7..,9.72..6.....,16..3.5....4,...16...3.A.,.C.5.B...8..,7.3...A1..BC
..B1.68..7..,.....4..5..1,7.39......62,.........2.3,....2..5B..9,3C...9.B..1.,.A..8.1...54,8..49..C....,6.5.........,94......2A.6,A..5..B.....,..8..17.C5..
......4..7.6,6...9..B4.C.,.......1.5.9,31..A..4.68.,..AC.1...4..,B..8.5.7C.A.,.7.61.5.9..2,..3...2.5A..,.24.B..C..13,C.6.3.......,.A.12..8...4,2.9..C......
.B.....5...2,....A.7..6..,2A..4..8.59B,...5.......C,.1.....6AB75,.27.C.A..18.,.46..8.9.2B.,B39A1.....4.,8.......3...,678.3..4..A1,..5..C.A....,3...7.....5.
A...B...45..,.81.A4....23,......25..6.,...1...C..7.,..9.4.7.5A..,8.5..2AB9...,...2618..4.9,..34.9.7.B..,.9..2...C...,.1..3B......,97....41.28.,..43...2...A
.1.68..2...7,.....9...14.,...C6..7938.,.5.....3..7.,6...B2..A.1C,...7.....9.4,A.6.....1...,54.2..9C...3,.C..1.....6.,.6782..54...,.B2...8.....,4...7..B5.2.
.....5....4.,.6.8A3.....5,2.A.C...8.6.,.1B....8..76,....7.59...B,.......A.9.4,1.6.8.......,4...69.1....,39..4....AC.,.A.1...B.5.9,5.....642.1.,.4....A.....
C.2.91.4....,.B4....8C.5.,.1.5C7.....8,.......946.C,B..1..4.....,....3.C.25..,..AB.C.1....,.....6..A..3,8.C74.......,9.....3C8.1.,.A.85....BC.,....6.1B.A.5
263.14....A9,...7.6.8.C4.,.5.C......6.,...1.......C,389....A....,.4..B.63.1..,..8.71.6..B.,....2....57A,4.......9...,.9......B.1.,.2B.8.7.A...,6A....B4.357
3B.7A2.....8,5......B7...,.1.....65.B.,C6..378.....,........38..,..73.5.2.16.,.5A.2.6.97..,..64........,.....83A..5B,.A.14.....8.,...CB......7,B.....514.3A
.....9..C5..,...97.1.B..2,251.3.4..968,..B.....6...,.9.....6..2.,7..6.45..CA.,.37..12.5..4,.4..6.....B.,...A.....1..,6A5..B.3.2C9,3..1.6.47...,..24..8.....
...A.5...B.7,...C.82.A63.,9.8.....2.C.,....9.B.41..,A...7.4...6.,.......A72.3,C.154.......,.2...A.B...8,..B7.1.5....,.8.6.....4.5,.C54.31.8...,2.A...C.3...
......C...29,........B6..,.6..71.83.C.,9.....73.A..,...74.1..98.,1.C...8..3.B,8.2..9...B.A,.B1..C.74...,..6.A2.....C,.7.92.54..A.,..5B........,AC...8......
4..5..27.3.6,...34B6....5,.6..5..C..1.,63.........7,.A....1....2,..7C...98.3A,12.73...A4..,B....5....7.,C.........B1,.9..2..3..C.,3....4C59...,2.C.A9..4..3
....B.32.5.9,....98.57...,.5.C.6A..B..,1....2B...6.,9......8.7..,7C......8.A2,48.2......96,..1.6......7,.7...48....B,..C..97.6.8.,...94.2B....,A.7.83.1....
.3.6...8...C,1.....5.B.43,.2.....C...A,..8B9C...1..,..2C.13A..8.,.4.A.......7,2.......8.B.,.6..5A4.72..,..B...89A4..,C...4.....5.,79.8.6.....4,A...C...6.1.
..7...3...A.,.A.2.B.C..86,...69.....4C,5.3...1..6.A,.4C..36...1.,..A149....C.,.3....B124..,.8...79..A6.,1.4..A...7.8,A2.....36...,4C..A.2.1.7.,.1...8...C..
91.....32.6.,....C1.879.5,......2....1,....B2.45C..,..9.7..6..4B,...4..1..7.6,5.A..C..B...,69..4..B.1..,..C31.95....,7....A......,1.8A6.B2....,.6.93.....AC
54.C7B9.3...,2....A.1.7.C,.1.7C......6,.59.3.1.C...,.C8.2.A.....,...1.C...5..,..5...7.8...,.....9.4.1C.,...8.2.B.95.,A......21.7.,8.7.4.3....5,...9.857A.32
C.....5...83,.1.B.A.46...,267...8.....,.2.....C..3.,..AC1.B.8..9,.71.....C4..,..54.....6C.,9..2.B.7A5..,.B..5.....7.,.....C...351,...1B.7.4.A.,3C...9.....6
6..1...2....,9.B..A......,...286B...5.,3.....2.4..B,.124.B..8.A.,8C....9..13.,.26..7....13,.5.8..6.B42.,4..A.1.....8,.4...C537...,......1..3.2,....4...1..C
6A...4...3B.,.....972.8..,....A.....4.,.3....C..B.2,81.B3..7...9,..7.85.B.6..,..2.C.96.1..,A...1..48.3C,1.4..7....9.,.C.....1....,..1.4CB.....,.28...3...6B
9B...C6..4..,7....8.B296.,24.....3....,.6..A.......,B.3..4..6...,8..4..25.B..,..7.12..5..9,...6..B..8.C,.......8..7.,....8.....A5,.1834.9....B,..2..5C...84
.C.7......2.,..4.25C.71..,1A.....9..B.,..9.8.......,5..8.A..67.9,.7..9B..A...,...9..A3..5.,6.83..4.B..C,.......B.2..,.4..6.....97,..2C.418.A..,.6......5.C.
..B..24....7,7..89..1..C.,.4..A..89..2,.5..6..78B3.,..9......2A6,8..C....7...,...4....B..8,197......A..,.A8B1..C..6.,A..95..6..4.,.7..4..A6..1,C....89..5..
.8..C7A.2.3.,C....5.B..6.,...7...2C4..,....2......1,.2.B..6A...C,A..51.9.B...,...A.9.37..5,8...A6..3.9.,5......4....,..78B...4...,.1..5.2....6,.6.4.83C..7.
.4..31.6..7.,A....5.4.9..,6.2..9..C...,9..A........,...2.6...CA.,.C8...372.49,82.653...AB.,.3B...4.6...,........5..3,...8..A..3.B,..7.4.6....A,.9..7.25..C.
31...9.A5...,8495......A.,........B2..,.5A....3..91,9.C..8..2B..,.B...519.C..,..8.4CA...6.,..12..9..3.4,56..8....A2.,..59........,.2......1978,...69.3...CA
56.8.2.7....,..3...B...A.,...A3.4..6..,8..3...6..5.,...7.351.B6.,..1..9...C28,9A5...C..7..,.47.9B6.1...,.3..1...2..9,..A..5.94...,.8...A...5..,....B.1.8.9A
